18-09-23;5942412;350225;163;15;40
18-09-23;3492708;791698;40;2;80
18-09-23;2222134;372986;76;13;1
18-09-23;4733527;384171;63;18;90
18-09-23;2610270;601934;122;12;9
18-09-23;8040855;697778;83;19;42
18-09-23;7527014;498331;78;4;35
18-09-23;5875194;205658;57;3;95
18-09-23;5830576;518406;104;18;56
18-09-23;2452346;870941;164;4;52
18-09-23;5516388;449220;146;10;98
18-09-23;7665236;704427;108;1;19
18-09-23;3484284;890567;74;3;49
18-09-23;7611359;629487;166;15;98
18-09-23;7312258;439961;30;2;92
18-09-23;4091767;662372;36;3;29
18-09-23;5077204;695325;105;20;8
18-09-23;3960563;523030;47;3;31
18-09-23;8426974;412719;100;1;19
18-09-23;4497698;766183;59;7;45
18-09-23;6379400;315331;116;7;19
18-09-23;6771132;344327;116;6;57
18-09-23;7542222;303171;136;16;57
18-09-23;9418252;638138;128;13;100
18-09-23;9365278;669877;40;10;22
18-09-23;4453014;657534;74;9;81
18-09-23;9426339;425594;51;12;58
18-09-23;9233711;612029;26;0;35
18-09-23;3972287;350241;50;6;40
18-09-23;7961289;653762;95;10;8
18-09-23;7773446;899439;87;18;22
18-09-23;3698523;210443;150;14;73
18-09-23;4407754;392696;25;2;25
18-09-23;7167283;796861;160;17;74
18-09-23;8435633;309168;32;12;82
18-09-23;9128511;203181;167;2;48
18-09-23;3729236;748850;66;6;82
18-09-23;9842160;904320;70;9;89
18-09-23;3755191;669622;97;18;77
18-09-23;4088639;963775;84;13;14
18-09-23;6795162;861582;30;0;59
18-09-23;8122089;975795;136;9;7
18-09-23;7059945;465007;63;4;6
18-09-23;3728306;821299;47;9;68
18-09-23;4416986;846400;49;0;56
18-09-23;6242173;488088;169;6;12
18-09-23;7293346;500235;145;9;73
18-09-23;4711666;348881;33;13;77
18-09-23;9568582;665647;114;6;91
18-09-23;3246594;653453;22;17;96
18-09-23;4447184;943947;128;9;14
18-09-23;4716290;599532;103;19;59
18-09-23;4117364;634731;157;11;53
18-09-23;5148688;542620;47;9;14
18-09-23;4656582;523101;24;8;86
18-09-23;3583013;207033;158;2;91
18-09-23;2791532;861545;87;8;44
18-09-23;7773751;956632;24;15;19
18-09-23;5491668;915123;21;4;55
18-09-23;4132399;973561;166;7;86
18-09-23;4215695;948716;132;8;42
18-09-23;2932513;573337;130;6;20
18-09-23;9534488;695983;107;7;11
18-09-23;4896255;926982;115;14;97
18-09-23;3891026;650882;146;20;80
18-09-23;2091117;261599;80;3;6
18-09-23;5757611;441816;103;10;67
18-09-23;6672013;365854;79;19;6
18-09-23;4534191;565934;167;13;45
18-09-23;8550818;278742;35;10;91
18-09-23;9726368;291210;86;18;60
18-09-23;6286889;592236;51;4;24
18-09-23;9956063;362779;29;14;84
18-09-23;4768139;423048;110;15;26
18-09-23;6314298;280493;108;7;40
18-09-23;5325786;473995;108;12;57
18-09-23;9092998;546901;67;20;35
18-09-23;9309011;495981;97;13;59
18-09-23;8627701;325707;102;10;15
18-09-23;5254043;521623;64;9;43
18-09-23;6540104;848465;38;5;29
18-09-23;8116943;767998;91;0;10
18-09-23;3788538;559519;167;6;84
18-09-23;2928559;372647;104;10;15
18-09-23;7096284;761337;145;17;96
18-09-23;8037954;630000;141;9;96
18-09-23;6555576;910095;165;0;41
18-09-23;9146085;555417;132;1;14
18-09-23;4712388;625000;155;17;70
18-09-23;2832610;242913;33;11;32
18-09-23;9735547;887758;139;11;40
18-09-23;8522813;374924;51;1;99
18-09-23;4696412;492341;59;6;94
18-09-23;2112365;712841;61;15;65
18-09-23;4829189;496787;169;20;6
18-09-23;3576259;572167;105;14;2
18-09-23;8494111;750664;140;13;79
18-09-23;6750924;254763;119;1;97
18-09-23;9341857;802079;71;11;100
18-09-23;4270293;856653;156;11;21
18-09-22;7930902;338104;97;6;32
18-09-22;8597540;293957;46;4;69
18-09-22;9389926;495822;87;9;7
18-09-22;5236035;390400;118;10;79
